user_screen_name,text,created_at
laurentAPERO,Non je me ferai pas vacciné car c’est pas un vaccin la définition du mot vaccin et sa ne correspond en rien au produit injecté Substance pathogène qui inoculée à un individu lui confère l'immunité contre une maladie Donc on vie normalement sans ce produit en nous,Thu Dec 30 14:28:00 +0000 2021
DelormeEric2,J’ai fait le calcul de probabilité  j’ai moins de risque de mourir du covid que de développer une maladie rare après vaccination,Fri Dec 24 12:35:00 +0000 2021
grandosek,0.05 % = le taux de létalité Moyenne d'âge des décès 82 ans Tests biaisés car amplifiés jusqu'à 45 fois Il y a un traitement qui marche si pris à temps Les masques se portent au bloc Vaccin non testés sur des animaux Pour toutes ces raisons je ne me ferai pas vacciner,Fri Dec 24 13:09:00 +0000 2021
Reine_Margot2,Je ne me ferai jamais vacciner car je suis libre  je n'ai pas été élevée dans du coton j'ai grandi dans la rebellion je m'en suis sortie plus forte et maintenant je devrais OBEIR   Jamais Je refuse de vivre sous contrôle je refuse que des gens décident pour moi,Sat Dec 18 09:43:00 +0000 2021
Michael80361703,Toujours à 0 dose  bientôt 65 ans je trouve que le pass vaccinal est encore plus scandaleux que le pass sanitaire Je ne me ferai pas vacciné  Je suis libre car je choisis de ne pas me laisser imposer une injection d’un produit inconnu car ce n’est pas un vaccin,Mon Dec 27 20:38:00 +0000 2021
Sarah41659531,Personnellement je n'accepterai aucune extorsion de consentement Je ne me ferai pas vacciner avec un produit douteux et qui entraîne une addiction même pour aller à un RV à l'hôpital C'est très clair dans ma tête Pas d'injection FORCÉE Surtout si ça ne fonctionne pas,Tue Dec 28 09:55:00 +0000 2021
AnnickGeffray,Ni méfiante ni contestataire je ne me ferai pas vacciner car je suis encore libre  libre de dire NON à leur injection politique plus que sanitaire,Wed Dec29 18:23:00 +0000 2021
jacquesderosier,Cela dit je suis à risque mais je ne me ferai pas vacciner tant qu'il y aura cette ambiance délétère Je précise que je ne suis pas antivax Mon choix est strictement personnel,Sun Dec 26 11:33:00 +0000 2021
77Calixte,Étant enceinte voilà pourquoi je ne me ferai pas vacciner,Mon Dec 27 19:01:00 +0000 2021
Herve_de_Coren,pas de gosse juste des chats mais celui qui voudrai vacciner mon chat je le castre avec les dents Next time pour les invalides immunodeprimés comme suppression de le pension donc de toute ressources et JE NE ME FERAI PAS VACCINER car mon consentement n'a pas été éclairé,Mon Dec 20 03:08:00 +0000 2021
GiovanniNatash2,Personnellement je ne me vaccine pas car j ai des craintes medicales que mes medecins jugent legitimes,Wed Dec 29 16:38:00 +0000 2021
fmbangoura7,A rien du tout Moi je ne me vaccine pas Raising hands Je suis pas un cobaye yoo,Wed Dec 29 16:38:00 +0000 2021
ptitbou70738689,@olivierveran je suis choquée par vos propos passage entre les gouttes je ne me vaccine pas pour ne pas avoir des effets secondaires de ce vaccin dû à ma pathologie Mr même si il y a peu de cas je ne veux pas perdre 2 ans de traitement  efficace et de confort de vie,Wed Dec 29 19:55:00 +0000 2021
tyalumiere,Je ne me vaccine pas avec un produit encore en expérimentation  a ARN msg ou l'une des closes du contrat est de ne prendre aucune responsabilité en cas d'effets secondaires graves,Thu Dec 30 19:17:00 +0000 2021
chaDaly5,SI JE NE ME « VACCINE » PAS JE SUIS PROTÉGÉ À 100% CONTRE LES EFFETS SECONDAIRES DU « VACCIN » ET PROTÉGÉ À 99.8% CONTRE LE COVID C’EST UNE BONNE AFFAIRE,Sat Dec 25 08:38:00 +0000 2021
CapelucheR,Ben moi dès que je touche mon smic je met 200 euros direct de côté c est mon budget cigarette pour le mois Je dis oui a la cigarette par contre je suis contre le vaccin car même si c est gratuit on n a pas assez de recul et on sait pas ce qu ils ont mis dedans,Wed Dec 8 17:31:00 +0000 2021
xRisYn,La situation complète a été conçue pour ca Virus ou pas Les gens pensent ce qu’il veulent mais l’état a fait le choix de diviser Je suis contre le vaccin car je n’ai pas confiance mais j’aurai préféré une obligation Ou le choix sans restriction parmis d’autres moyens,Wed Dec 29 20:14:00 +0000 2021
danounou0,c’est ptet parce que on a pas envie de se faire injecter un vaccin qui contient de l’ARN messager et qu’on préfère attendre un vaccin fait de la même façon que tous les autres Donc avant de dire que j’ai pas d’argument sur mon compte tu réfléchis 3x,Wed Dec 29 21:26:00 +0000 2021
ddg7893,Je n'ai pas peur de le dire je suis #antivax,Mon Dec 27 13:55:00 +0000 2021
VasinCol,Tous les faits et les chiffres ? On est d'accord que la vaccin empêche les formes graves et c'est très bien Par contre le pass sanitaire est prouvé inutile  vaccin avec le plus d'ADE  vaccin inutile (ou presque) contre Omicron etc... Arrête d'être aussi sectaire,Sun Dec 26 19:36:00 +0000 2021
vesvestpso,Je suis anti vaccin par contre demain je suis inviter pour fêter le 31 je me suis fait tester car je veux pas contaminer les gens si jamais je suis positif Winking face et dieu merci je suis négatif,Thu Dec 30 18:57:00 +0000 2021
STEPHILCAT,Je ne suis pas #antivax je suis contre l’obligation d’une injection toujours en phase de tests ou de nbx effets second…se multiplient chq jour ou personne n’a suffis… de recul pour affirmer que c’est la solution pour enrayer ce virus … alors non je ne me plierai pas,Sat Dec 18 19:33:00 +0000 2021
ln123Champagne,Exact Je suis à jour de mes #vaccins (rappel du tétanos inclus) Pas anti #vaccin mais contre celuilà expérimental inefficace et dangereux Comme la plupart des personnes non #vaccinées contre la #COVID Pas #antivax, Sat Dec 31 17:02:00 +0000 2021
