user_screen_name,text,created_at
Theuxaah,La faute de votre logique est d'associer antipass et antivax moi même je suis provax mais j'ai quelque doutes sur la légitimité d'un pass sanitaire Je me suis vacciné car j'aimerais éviter de tuer mon grand père et potentiellement celui des autres d'une maladie évitable,Tue Jun 07 09:19:08 +0000 2021
Golgoth201,Je me suis vacciné car si je dois mener ma fille aux urgences j'ai peur qu'on me laisse pas rentrer avec elle On est dans un monde ou l'intention n'a pas importance On perd la raison d'être des choses,Mon Jul 10 19:20:08 +0000 2021
Haurror666,Je me suis vacciné car on me disait que je trouverai jamais de travail si je l'était pas et que je pourrais pas voir ma belle sœur après sont accouchement je regrette terriblement tellement j'ai été malade,Sun Jun 27 07:45:08 +0000 2021
Wookie75063,Je me suis fait vacciné car les risques de me retrouver dans un état grave si je chopai le covid 19 diminué mais un moment donné va falloir être clair au yeux de la population car je trouve que l'on tourne en rond depuis pas mal de temps déjà,Thu Aug 10 08:20:08 +0000 2021
thibzpower,Le Vaccin est le seul moyen pour lutter contre le virus et retrouver sereinement la vie d'avant Donc les antivax si vous pensez vous rebeller contre le gouvernement en n'allant pas vous faire vacciner non vous êtes juste égoïstes et vos arguments sont pitoyables,Sun Jun 27 07:45:08 +0000 2021
Noisethino,Pour le vaccin est le seul moyen de sortir de la crise il est efficace sûr et gratuit c’est une chance de pouvoir l’avoir aussi rapidement,Mon Jul 12 08:19:08 +0000 2021
franswa9576,Moi je suis pour le pass sanitaire car je ne veux pas imaginer une société ou le vaccin ne serait pas la norme comme je ne peux imaginer une société ou les gens ne seraient pas habillés dans la rue,Mon Jul 19 08:53:00 +0000 2021
Nihm1313,C’est scandaleux Je suis pour le vaccin car j’ai confiance dans l’avancée de la médecine et je suis contre le pass sanitaire car j’ai confiance dans les français Mais non il a fallu qu’il impose interdise Voilà comment Emmanuel Macron rate la concorde avec ses citoyens,Tue Jul 27 15:08:00 +0000
pascalinho11,Je me suis vacciné car entre le boulot le foot (payer pour un viol nasal toutes les semaines pas d'intérêt) et les voyages en Italie pas le choix Franchement à part une douleur au bras pendant 2 jours rien à signaler,Fri Jul 30 07:22:00 +0000 2021
Sauvage35249696,Je suis provax car les chiffres demontrent clairement l'action positive du vaccin et il faut mieux prévenir que guérir La vaccination est très peu risquée mais elle ne semble pas résoudre l'ensemble du problème,Mon Jul 20 18:29:08 +0000 2021
AlainMartin458,C vous qui écrivez des conneries Le vaccin protège et il faut se vacciner car il n'y a pas mieux,Thu Aug 19 15:07:08 +0000 2021
agmlscallaert,Je suis vacciné car je crois en la vaccination Certains sont vaccinés pour pouvoir être libre d’aller ou ils veulent D’autre l’a refuse encore Et là on apprend qu’un test neg sera obligatoire en plus du pass vaccinale dans certain lieu Sa sera sans moi cette fois,Thu Aug 19 15:07:08 +0000 2021
idriss_neumann,100% en phase Perso je suis favorable au vaccin car de ce que j'en comprend le bénéfice risque est faible Par contre je le dit tout de suite je compte pas le faire tout les 3/4 mois même 1 fois par ans c'est beaucoup,Mon Jul 5 12:47:00 +0000 2021
SB3141,Moi je me suis vacciné car tuer des gens ça me plaît moyen Les vacances c'est du bonus,Thu Jul 29 14:30:00 +0000 2021 
Charles_Chauve, Je suis pour la vaccination car c'est le seul moyen connu d'enrayer une pandémie Et nous avons de nombreux exemples qui le prouvent Et je suis vacciné contre le Covid 19 MAIS je suis également pour l'obligation du casier judiciaire vierge pour tous les Hommes politiques,Mon Jul 05 07:48:00 +0000 2021
MaximeLg2l,InfirmierVaccine depuis 6 mois et tout va bien Je suis pour la vaccination car c'est le moyen le plus efficace pour me protéger ainsi que mes proches et mes patients Par contre si tu es encore indécis je ne te jugerai pas Viens on discute plutôt Visage faisant un clin d'œil,Thu Jul 08 07:49:00 +0000 2021
Rue42919748,J'ai pas dit sa je suis pour la vaccination car celle-ci nous permet de vivre plus longtemps Je met en lumière le faite que peut importe ce que l'on fait les virus seront tjr de plus en plus fort,Fri Jul 30 18:45:08 +0000 2021
LZagorac,Oui tu as raison  le débat embrasse en réalité tout notre mode de vie et de développement qui dérègle l'écosystème global Je suis pour la vaccination car je préfère prévenir que guérir mais prévenir réellement c'est créer les conditions pour ne plus développer de zoonoses,Sat Aug 07 09:17:00 +0000 2021
Reisendenn,Perso je suis pro vax Car quand on se renseigne suffisamment auprès de médecins et de spécialistes du domaine quand on comprend comment ça fonctionne il n’y a aucune raison de refuser ce vaccin Surtout les ARNm Mais ceux qui doutent sont juste mal informés ça pourrait,Tue Jul 13 12:31:00 +0000 2021
MurielleLombard,je suis pro vax car on a rien de mieux pour le moment,Thu Jul 29 11:07:00 +0000 2021
